in_features,I_YX_in,I_YX_out|X_in,I_XY
claw,0.2945284400255447,0.622517950007597,0.9170463900331417
dist,0.47483655122979995,0.44220983880334175,0.9170463900331417
"claw,dist",0.4851985463849243,0.4318478436482174,0.9170463900331417
age,0.5953206702307964,0.3217257198023453,0.9170463900331417
"claw,age",0.5897643829820036,0.3272820070511381,0.9170463900331417
"dist,age",0.5903049141171232,0.32674147591601854,0.9170463900331417
"claw,dist,age",0.5872592103691204,0.32978717966402127,0.9170463900331417
cluster,0.8005312636136128,0.11651512641952882,0.9170463900331417
"claw,cluster",0.8026659937305377,0.11438039630260399,0.9170463900331417
"dist,cluster",0.8456978018437926,0.07134858818934903,0.9170463900331417
"claw,dist,cluster",0.8474677486144987,0.069578641418643,0.9170463900331417
"age,cluster",0.913311216190519,0.00373517384262273,0.9170463900331417
"claw,age,cluster",0.9171320226307362,-8.563259759458708e-05,0.9170463900331417
"dist,age,cluster",0.9146046922820511,0.002441697751090599,0.9170463900331417
